scan_id,quality,angle_deg,distance_mm,x_mm,y_mm
0,15,268.0,261.2,-9.3,-261.1
0,15,269.6,258.2,-1.7,-258.2
0,15,270.6,256.0,2.8,-256.0
0,15,272.0,253.8,9.1,-253.6
0,15,273.5,251.8,15.3,-251.3
0,15,277.1,249.8,30.8,-247.8
0,15,278.3,247.8,35.8,-245.1
0,15,279.5,246.5,40.9,-243.1
0,15,280.7,245.5,45.4,-241.3
0,15,280.7,245.0,45.6,-240.7
0,15,282.8,244.0,54.0,-237.9
0,15,285.6,243.2,65.6,-234.2
0,15,286.2,243.8,67.8,-234.1
0,15,291.8,2104.8,781.5,-1954.3
0,15,293.3,2087.8,826.2,-1917.3
0,12,294.8,2068.2,867.4,-1877.6
0,14,296.3,2053.5,909.2,-1841.2
0,15,297.8,2046.0,952.6,-1810.7
0,15,299.3,2028.0,991.9,-1768.9
0,15,300.8,2014.0,1029.7,-1730.8
0,15,302.2,1998.8,1065.6,-1691.0
0,15,311.2,391.0,257.8,-294.0
0,15,322.9,2038.8,1626.5,-1229.2
0,10,324.4,2051.0,1668.5,-1192.8
0,15,325.9,2071.5,1714.8,-1162.1
0,15,327.3,2088.8,1758.6,-1127.1
0,15,328.9,2103.0,1800.0,-1087.5
0,15,330.3,2123.5,1844.5,-1052.2
0,15,336.7,535.2,491.6,-211.8
0,15,340.2,489.5,460.5,-166.0
0,15,341.4,498.0,472.0,-158.9
0,15,342.9,510.8,488.2,-150.0
0,15,344.3,525.5,505.8,-142.4
0,15,345.7,541.8,524.9,-134.2
1,15,350.9,2712.0,2677.7,-430.1
1,15,352.4,2760.2,2735.7,-367.0
1,15,353.8,2823.2,2807.0,-302.8
1,15,355.3,2907.8,2898.0,-237.6
1,15,356.8,2988.2,2983.4,-169.4
1,15,358.2,3069.0,3067.5,-94.6
1,15,359.7,3164.2,3164.2,-17.3
1,15,4.1,3485.0,3476.1,248.8
1,15,18.8,5274.5,4992.7,1700.9
1,15,20.3,5218.0,4894.0,1810.0
1,15,21.8,5147.0,4779.5,1909.9
1,15,23.2,5103.0,4688.6,2014.4
1,15,24.8,5071.0,4605.2,2123.0
1,15,26.2,5041.5,4522.8,2227.3
1,15,69.2,5008.5,1775.7,4683.1
1,15,70.7,5137.5,1696.4,4849.3
1,15,72.2,5250.0,1604.6,4998.8
1,15,73.7,5354.8,1505.4,5138.8
1,15,77.2,1873.0,416.4,1826.1
1,15,78.6,1876.8,370.2,1839.9
1,15,80.1,1899.0,327.2,1870.6
1,15,85.4,6990.0,557.9,6967.7
1,11,86.9,7128.2,384.7,7117.9
1,15,90.0,3877.0,-2.1,3877.0
1,15,91.5,3787.5,-101.2,3786.1
1,15,100.5,3078.5,-560.2,3027.1
1,15,106.1,9229.2,-2558.4,8867.6
1,15,107.5,8988.8,-2703.0,8572.7
1,15,109.0,8824.8,-2870.8,8344.7
1,15,110.5,8813.0,-3079.6,8257.4
1,15,113.7,2993.5,-1204.1,2740.6
1,15,115.2,2974.2,-1265.8,2691.5
1,15,116.7,2948.8,-1324.4,2634.6
1,15,122.2,8673.0,-4628.0,7335.0
1,15,125.2,7178.5,-4139.8,5864.5
1,15,129.7,7253.5,-4629.0,5584.4
1,15,136.5,1300.5,-943.3,895.2
1,15,174.4,2218.8,-2208.3,215.1
1,15,180.4,2188.8,-2188.7,-16.1
1,10,220.4,1725.2,-1313.1,-1119.0
1,15,245.0,344.0,-145.3,-311.8
1,15,246.0,334.5,-135.8,-305.7
1,15,248.2,326.0,-120.9,-302.8
1,15,249.6,318.0,-110.6,-298.1
1,15,251.1,310.2,-100.4,-293.5
1,15,252.8,303.8,-89.8,-290.2
1,15,254.5,297.5,-79.7,-286.6
1,15,256.1,291.5,-70.2,-282.9
1,15,257.7,286.2,-60.8,-279.7
1,15,259.2,281.5,-52.7,-276.5
1,15,260.6,277.2,-45.5,-273.5
1,15,261.9,273.0,-38.4,-270.3
1,15,264.3,269.0,-26.8,-267.7
1,15,265.2,265.5,-22.0,-264.6
1,15,266.6,262.5,-15.4,-262.0
1,15,268.4,259.8,-7.4,-259.6
1,15,269.6,257.0,-1.9,-257.0
1,15,271.5,254.8,6.7,-254.7
1,15,272.6,253.0,11.6,-252.7
1,15,276.1,251.0,26.8,-249.6
1,15,275.7,249.2,24.8,-248.0
1,15,278.3,247.5,35.9,-244.9
1,15,279.2,246.0,39.5,-242.8
1,15,280.3,245.0,43.8,-241.1
1,15,282.0,244.2,50.8,-238.9
1,15,283.3,243.8,56.1,-237.2
1,15,286.5,243.2,69.2,-233.2
1,15,291.2,2111.8,765.4,-1968.2
1,15,292.7,2088.8,805.6,-1927.1
1,15,294.2,2070.0,849.7,-1887.6
1,15,295.7,2059.8,892.8,-1856.2
1,15,297.2,2046.5,934.6,-1820.6
1,15,298.7,2026.8,972.4,-1778.2
1,15,300.2,2018.2,1014.8,-1744.5
1,15,310.8,391.0,255.6,-295.9
1,15,312.3,391.0,263.1,-289.2
1,15,319.4,2013.5,1528.2,-1311.0
1,15,320.9,2029.2,1574.2,-1280.5
1,15,322.3,2036.8,1612.1,-1244.7
1,15,323.8,2045.8,1650.8,-1208.3
1,15,325.3,2067.0,1699.0,-1177.3
1,15,326.8,2077.0,1737.0,-1138.8
1,15,328.2,2086.2,1773.4,-1098.8
1,15,329.7,2104.2,1817.1,-1061.1
1,15,331.2,2126.5,1863.0,-1025.4
1,15,336.3,537.8,492.4,-216.0
1,15,337.8,526.5,487.5,-199.0
1,15,340.9,493.8,466.5,-161.8
1,15,342.2,504.8,480.5,-154.7
1,15,343.7,518.2,497.5,-145.2
2,15,351.7,2730.2,2701.8,-393.2
2,15,353.2,2801.2,2781.5,-332.3
2,15,354.6,2866.8,2854.2,-267.8
2,15,357.6,3041.5,3038.8,-127.7
2,15,359.0,3129.8,3129.3,-52.9
2,15,0.5,3220.0,3219.9,29.0
2,15,3.4,3434.0,3427.9,205.0
2,15,18.0,5283.0,5023.1,1636.6
2,15,19.5,5269.8,4966.5,1761.8
2,15,21.0,5215.2,4868.3,1870.3
2,15,22.5,5133.8,4743.0,1964.6
2,15,24.0,5090.5,4651.5,2068.0
2,15,25.5,5037.0,4547.5,2166.0
2,15,26.9,5010.0,4466.4,2269.6
2,15,65.4,5825.0,2422.8,5297.2
2,15,68.4,4981.0,1831.9,4631.9
2,15,69.9,5069.5,1743.0,4760.5
2,15,71.4,5161.8,1648.5,4891.4
2,15,72.8,5285.5,1559.1,5050.3
2,15,74.3,5403.0,1459.5,5202.1
2,15,77.8,1865.0,395.2,1822.6
2,15,79.2,1883.5,352.3,1850.3
2,15,80.7,1918.5,309.9,1893.3
2,15,90.7,3840.0,-48.2,3839.7
2,15,105.3,9375.0,-2470.9,9043.5
2,15,108.2,8885.8,-2773.5,8441.8
2,15,109.7,8797.5,-2959.3,8284.8
2,15,112.9,2986.2,-1163.1,2750.4
2,15,114.4,2982.5,-1233.1,2715.6
2,15,115.9,2963.5,-1294.0,2666.1
2,15,117.4,2932.8,-1347.8,2604.7
2,15,124.4,7175.5,-4057.8,5917.9
2,15,125.9,7221.5,-4236.7,5848.1
2,15,132.5,1565.5,-1057.3,1154.5
2,15,137.1,1287.8,-944.0,875.9
2,15,157.2,126.8,-116.9,49.0
2,15,175.0,2204.5,-2196.1,192.1
2,15,219.5,1703.0,-1313.2,-1084.3
2,15,241.8,362.2,-171.1,-319.3
2,15,245.2,341.0,-142.9,-309.6
2,15,246.8,331.8,-131.0,-304.8
2,15,248.5,323.0,-118.3,-300.6
2,15,250.3,315.0,-106.4,-296.5
2,15,251.9,308.2,-95.7,-293.0
2,15,253.3,302.0,-87.0,-289.2
2,15,254.5,295.8,-78.9,-285.0
2,15,256.3,289.5,-68.6,-281.3
2,15,258.3,284.0,-57.6,-278.1
2,15,259.5,279.5,-51.0,-274.8
2,15,261.6,275.5,-40.4,-272.5
2,15,263.0,271.8,-33.3,-269.7
2,15,264.2,267.8,-26.9,-266.4
2,15,266.1,264.2,-17.8,-263.7
2,15,268.0,261.2,-9.2,-261.1
2,15,270.0,258.5,0.2,-258.5
2,15,271.0,256.0,4.5,-256.0
2,15,272.1,253.8,9.2,-253.6
2,15,274.3,251.8,18.9,-251.0
2,15,275.6,249.8,24.3,-248.6
2,15,276.2,247.8,26.7,-246.3
2,15,278.0,246.5,34.4,-244.1
2,15,279.6,245.8,41.1,-242.3
2,15,282.2,245.0,51.7,-239.5
2,15,284.1,244.0,59.3,-236.7
2,15,284.0,243.2,58.7,-236.1
2,15,285.1,243.8,63.6,-235.3
2,15,291.7,2099.5,776.4,-1950.7
2,15,293.2,2085.2,820.5,-1917.0
2,10,294.6,2066.5,861.6,-1878.3
2,15,296.1,2049.5,902.0,-1840.4
2,15,297.6,2036.0,944.1,-1803.9
2,15,299.2,2023.5,985.8,-1767.1
2,15,300.6,2017.8,1027.4,-1736.6
2,15,302.1,2001.5,1063.9,-1695.3
2,15,319.8,2013.0,1537.5,-1299.4
2,15,321.2,2034.0,1586.3,-1273.1
2,15,322.8,2041.5,1626.0,-1234.4
2,15,324.2,2049.8,1663.2,-1198.0
2,15,325.8,2065.2,1707.1,-1162.3
2,15,327.2,2080.2,1748.7,-1126.8
2,15,328.7,2095.8,1789.9,-1090.1
2,15,330.2,2117.5,1836.7,-1053.7
2,15,331.6,2140.5,1883.3,-1017.3
2,15,336.6,535.5,491.6,-212.5
2,15,339.8,489.8,459.7,-168.9
2,15,341.2,496.5,470.1,-159.9
2,15,342.7,508.2,485.2,-151.4
2,15,344.1,522.8,502.8,-143.1
