scan_id,quality,angle_deg,distance_mm
0,15,329.6,2990.0
0,15,331.1,2960.2
0,15,332.6,2918.2
0,15,334.1,2883.2
0,15,338.7,2222.0
0,15,340.2,2211.2
0,15,341.7,2220.2
0,15,343.2,2247.8
0,15,346.1,2688.5
0,15,347.6,2677.2
0,15,349.1,2655.0
0,15,350.6,2644.5
1,15,352.1,2636.2
1,15,353.6,2620.2
1,15,355.1,2628.5
1,15,356.6,2641.8
1,15,358.0,2654.5
1,15,359.6,2645.5
1,15,1.0,2625.2
1,15,2.5,2646.0
1,15,4.0,2661.5
1,15,5.5,2660.2
1,15,7.0,2681.2
1,15,8.5,2691.2
1,15,10.0,2700.0
1,15,11.5,2724.5
1,15,94.2,1593.5
1,15,104.1,752.0
1,15,172.7,193.0
1,15,177.2,193.0
1,15,178.3,192.8
1,15,180.1,193.5
1,15,181.6,194.0
1,15,183.1,194.5
1,15,229.7,2198.0
1,15,259.9,1647.0
1,15,329.7,2984.8
1,15,331.2,2951.5
1,15,332.7,2914.2
1,15,334.2,2870.5
1,15,338.9,2223.2
1,15,340.4,2212.8
1,15,341.8,2219.5
1,15,343.3,2253.0
1,15,346.2,2692.2
1,15,347.7,2675.0
1,15,349.2,2657.8
